English_Queries,Entities,time_info_md,time_info_sm
generate Max Shipment  Candy in quarter Q2?,Max Shipment:Task || Candy:Category || ,"[quarter, Q2]","[quarter, Q2]"
generate Top Line  Sauces in quarter Q1 to Q4?,Top Line:Task || Sauces:Category || ,"[quarter, Q1]",[]
display Net sales  Tea in month Nov?,Net sales:Task || Tea:Sub_Category || ,"[month, Nov]","[month, Nov]"
get Top Line  Ketchup in year 2019?,Top Line:Task || Ketchup:Sub_Category || ,"[year, 2019]","[year, 2019]"
get Revenue  Hot Dogs in month Aug?,Revenue:Task || Hot Dogs:Sub_Category || ,"[month, Aug]","[month, Aug]"
fetch Bottom Line  Candy in month Jun to Nov?,Bottom Line:Task || Candy:Category || ,"[month, Jun, to, Nov]",[month]
fetch Revenue  Albertsons/Safeway in month Oct?,Revenue:Task || Albertsons/Safeway:Customer || ,"[month, Oct]","[month, Oct]"
fetch Top Line  UNIFI in year 2019?,Top Line:Task || UNIFI:Customer || ,"[year, 2019]","[year, 2019]"
fetch Revenue  Meats in year 2019?,Revenue:Task || Meats:Category || ,"[year, 2019]","[year, 2019]"
fetch Revenue  Cheese in week Wk16 to Wk43?,Revenue:Task || Cheese:Category || ,[],[week]
generate Gross Sales  Meats in year 2019?,Gross Sales:Task || Meats:Category || ,"[year, 2019]","[year, 2019]"
display Bottom Line  Walmart in week Wk14 to Wk28?,Bottom Line:Task || Walmart:Customer || ,[week],"[week, Wk14]"
get Max Shipment  Ahold in year 2019?,Max Shipment:Task || Ahold:Customer || ,"[year, 2019]","[year, 2019]"
generate Net sales  Cheese in year 2019?,Net sales:Task || Cheese:Category || ,"[year, 2019]","[year, 2019]"
display Revenue  Tea in week Wk43?,Revenue:Task || Tea:Sub_Category || ,[week],"[week, Wk43]"
get Count  Walmart in month Feb to Sep?,Count:Task || Walmart:Customer || ,"[month, Feb, to, Sep]",[month]
display Top Line  Candy in year 2019?,Top Line:Task || Candy:Category || ,"[year, 2019]","[year, 2019]"
generate Bottom Line  Hard in year 2019?,Bottom Line:Task || Hard:Sub_Category || ,"[year, 2019]","[year, 2019]"
fetch Max Shipment  Cheese in year 2019?,Max Shipment:Task || Cheese:Category || ,"[year, 2019]","[year, 2019]"
fetch Net sales  Dollar General in month May to Dec?,Net sales:Task || Dollar General:Customer || ,"[month, May, to, Dec]","[month, May]"
generate Top Line  Natural Cheese in month Jul?,Top Line:Task || Natural Cheese:Sub_Category || ,"[month, Jul]",[month]
fetch Net sales  Cheese in year 2019?,Net sales:Task || Cheese:Category || ,"[year, 2019]","[year, 2019]"
fetch Max Shipment  Processed Cheese in year 2019?,Max Shipment:Task || Processed Cheese:Sub_Category || ,"[year, 2019]","[year, 2019]"
generate Max Shipment  Breakfast in week Wk6 to Wk42?,Max Shipment:Task || Breakfast:Category || ,[week],[week]
generate Count  Meats in year 2019?,Count:Task || Meats:Category || ,"[year, 2019]","[year, 2019]"
display Revenue  Candy in quarter Q2 to Q4?,Revenue:Task || Candy:Category || ,"[quarter, Q2]",[]
generate Revenue  Target in week Wk4?,Revenue:Task || Target:Customer || ,[week],"[week, Wk4]"
display Max Shipment  Aldi in quarter Q2 to Q4?,Max Shipment:Task || Aldi:Customer || ,"[quarter, Q2]",[]
generate Revenue  Aldi in year 2019?,Revenue:Task || Aldi:Customer || ,"[year, 2019]","[year, 2019]"
get Net sales  Cheese in month Feb to Oct?,Net sales:Task || Cheese:Category || ,"[month, Feb, to, Oct]",[]
