English_Queries,Intent
generate Max Shipment  Candy in quarter Q2?,"{'Task': 'Max Shipment', 'Category': 'Candy', 'Date': [quarter, Q2]}"
generate Top Line  Sauces in quarter Q1 to Q4?,"{'Task': 'Top Line', 'Category': 'Sauces', 'Date': [quarter, 'Q1 to Q4']}"
display Net sales  Tea in month Nov?,"{'Task': 'Net sales', 'Sub_Category': 'Tea', 'Date': [month, Nov]}"
get Top Line  Ketchup in year 2019?,"{'Task': 'Top Line', 'Sub_Category': 'Ketchup', 'Date': [year, 2019]}"
get Revenue  Hot Dogs in month Aug?,"{'Task': 'Revenue', 'Sub_Category': 'Hot Dogs', 'Date': [month, Aug]}"
fetch Bottom Line  Candy in month Jun to Nov?,"{'Task': 'Bottom Line', 'Category': 'Candy', 'Date': [month, Jun, to, Nov]}"
fetch Revenue  Albertsons/Safeway in month Oct?,"{'Task': 'Revenue', 'Customer': 'Albertsons/Safeway', 'Date': [month, Oct]}"
fetch Top Line  UNIFI in year 2019?,"{'Task': 'Top Line', 'Customer': 'UNIFI', 'Date': [year, 2019]}"
fetch Revenue  Meats in year 2019?,"{'Task': 'Revenue', 'Category': 'Meats', 'Date': [year, 2019]}"
fetch Revenue  Cheese in week Wk16 to Wk43?,"{'Task': 'Revenue', 'Category': 'Cheese', 'Date': []}"
generate Gross Sales  Meats in year 2019?,"{'Task': 'Gross Sales', 'Category': 'Meats', 'Date': [year, 2019]}"
display Bottom Line  Walmart in week Wk14 to Wk28?,"{'Task': 'Bottom Line', 'Customer': 'Walmart', 'Date': ['week Wk14 to Wk28']}"
get Max Shipment  Ahold in year 2019?,"{'Task': 'Max Shipment', 'Customer': 'Ahold', 'Date': [year, 2019]}"
generate Net sales  Cheese in year 2019?,"{'Task': 'Net sales', 'Category': 'Cheese', 'Date': [year, 2019]}"
display Revenue  Tea in week Wk43?,"{'Task': 'Revenue', 'Sub_Category': 'Tea', 'Date': ['week Wk43']}"
get Count  Walmart in month Feb to Sep?,"{'Task': 'Count', 'Customer': 'Walmart', 'Date': [month, Feb, to, Sep]}"
display Top Line  Candy in year 2019?,"{'Task': 'Top Line', 'Category': 'Candy', 'Date': [year, 2019]}"
generate Bottom Line  Hard in year 2019?,"{'Task': 'Bottom Line', 'Sub_Category': 'Hard', 'Date': [year, 2019]}"
fetch Max Shipment  Cheese in year 2019?,"{'Task': 'Max Shipment', 'Category': 'Cheese', 'Date': [year, 2019]}"
fetch Net sales  Dollar General in month May to Dec?,"{'Task': 'Net sales', 'Customer': 'Dollar General', 'Date': [month, May, to, Dec]}"
generate Top Line  Natural Cheese in month Jul?,"{'Task': 'Top Line', 'Sub_Category': 'Natural Cheese', 'Date': [month, Jul]}"
fetch Net sales  Cheese in year 2019?,"{'Task': 'Net sales', 'Category': 'Cheese', 'Date': [year, 2019]}"
fetch Max Shipment  Processed Cheese in year 2019?,"{'Task': 'Max Shipment', 'Sub_Category': 'Processed Cheese', 'Date': [year, 2019]}"
generate Max Shipment  Breakfast in week Wk6 to Wk42?,"{'Task': 'Max Shipment', 'Category': 'Breakfast', 'Date': ['week Wk6 to Wk42']}"
generate Count  Meats in year 2019?,"{'Task': 'Count', 'Category': 'Meats', 'Date': [year, 2019]}"
display Revenue  Candy in quarter Q2 to Q4?,"{'Task': 'Revenue', 'Category': 'Candy', 'Date': [quarter, 'Q2 to Q4']}"
generate Revenue  Target in week Wk4?,"{'Task': 'Revenue', 'Customer': 'Target', 'Date': ['week Wk4']}"
display Max Shipment  Aldi in quarter Q2 to Q4?,"{'Task': 'Max Shipment', 'Customer': 'Aldi', 'Date': [quarter, 'Q2 to Q4']}"
generate Revenue  Aldi in year 2019?,"{'Task': 'Revenue', 'Customer': 'Aldi', 'Date': [year, 2019]}"
get Net sales  Cheese in month Feb to Oct?,"{'Task': 'Net sales', 'Category': 'Cheese', 'Date': [month, Feb, to, Oct]}"
generate Max Shipment  Meats in quarter Q4?,"{'Task': 'Max Shipment', 'Category': 'Meats', 'Date': []}"
get Bottom Line  Albertsons/Safeway in quarter Q1 to Q4?,"{'Task': 'Bottom Line', 'Customer': 'Albertsons/Safeway', 'Date': [quarter, 'Q1 to Q4']}"
display Gross Sales  Shelf Stable in year 2019?,"{'Task': 'Gross Sales', 'Sub_Category': 'Shelf Stable', 'Date': [year, 2019]}"
get Net sales  Candy in quarter Q2 to Q4?,"{'Task': 'Net sales', 'Category': 'Candy', 'Date': [quarter, 'Q2 to Q4']}"
generate Count  Breakfast in quarter Q4?,"{'Task': 'Count', 'Category': 'Breakfast', 'Date': ['quarter Q4']}"
fetch Top Line  Publix in month Jan to Dec?,"{'Task': 'Top Line', 'Customer': 'Publix', 'Date': [month, Jan, to, Dec]}"
generate Top Line  Ketchup in week Wk18?,"{'Task': 'Top Line', 'Sub_Category': 'Ketchup', 'Date': ['week Wk18']}"
get Gross Sales  Cheese in quarter Q1 to Q4?,"{'Task': 'Gross Sales', 'Category': 'Cheese', 'Date': [quarter, 'Q1 to Q4']}"
get Revenue  Cold Cuts in year 2019?,"{'Task': 'Revenue', 'Sub_Category': 'Cold Cuts', 'Date': [year, 2019]}"
get Revenue  Gelatin in month Apr to Nov?,"{'Task': 'Revenue', 'Sub_Category': 'Gelatin', 'Date': [month, Apr, to, Nov]}"
display Count  Walmart in year 2019?,"{'Task': 'Count', 'Customer': 'Walmart', 'Date': [year, 2019]}"
get Bottom Line  Ahold in week Wk7 to Wk40?,"{'Task': 'Bottom Line', 'Customer': 'Ahold', 'Date': ['week Wk7 to Wk40']}"
generate Top Line  Ketchup in month Mar?,"{'Task': 'Top Line', 'Sub_Category': 'Ketchup', 'Date': [month, Mar]}"
display Revenue  Publix in week Wk22 to Wk31?,"{'Task': 'Revenue', 'Customer': 'Publix', 'Date': ['week Wk22 to Wk31']}"
fetch Revenue  Target in year 2019?,"{'Task': 'Revenue', 'Customer': 'Target', 'Date': [year, 2019]}"
generate Gross Sales  Aldi in quarter Q2 to Q4?,"{'Task': 'Gross Sales', 'Customer': 'Aldi', 'Date': [quarter, 'Q2 to Q4']}"
get Gross Sales  Sauces in quarter Q4?,"{'Task': 'Gross Sales', 'Category': 'Sauces', 'Date': ['quarter Q4']}"
generate Revenue  Cheese in year 2019?,"{'Task': 'Revenue', 'Category': 'Cheese', 'Date': [year, 2019]}"
fetch Gross Sales  Candy in month Sep?,"{'Task': 'Gross Sales', 'Category': 'Candy', 'Date': [month, Sep]}"
display Net sales  Walmart in year 2019?,"{'Task': 'Net sales', 'Customer': 'Walmart', 'Date': [year, 2019]}"
fetch Bottom Line  Breakfast in quarter Q4?,"{'Task': 'Bottom Line', 'Category': 'Breakfast', 'Date': ['quarter Q4']}"
get Net sales  Target in month Jun to Oct?,"{'Task': 'Net sales', 'Customer': 'Target', 'Date': [month, Jun, to, Oct]}"
display Top Line  Costco in week Wk24?,"{'Task': 'Top Line', 'Customer': 'Costco', 'Date': ['week Wk24']}"
generate Revenue  Gelatin in quarter Q1 to Q4?,"{'Task': 'Revenue', 'Sub_Category': 'Gelatin', 'Date': [quarter, 'Q1 to Q4']}"
generate Net sales  Bacon in quarter Q1?,"{'Task': 'Net sales', 'Sub_Category': 'Bacon', 'Date': [quarter, Q1]}"
fetch Gross Sales  Coffee in quarter Q1 to Q4?,"{'Task': 'Gross Sales', 'Sub_Category': 'Coffee', 'Date': [quarter, 'Q1 to Q4']}"
get Top Line  Sauces in quarter Q3?,"{'Task': 'Top Line', 'Category': 'Sauces', 'Date': ['quarter Q3']}"
fetch Gross Sales  Hot Dogs in week Wk24 to Wk32?,"{'Task': 'Gross Sales', 'Sub_Category': 'Hot Dogs', 'Date': ['week Wk24 to Wk32']}"
generate Max Shipment  Dollar General in quarter Q2?,"{'Task': 'Max Shipment', 'Customer': 'Dollar General', 'Date': [quarter, Q2]}"
display Bottom Line  Mayonaise in year 2019?,"{'Task': 'Bottom Line', 'Sub_Category': 'Mayonaise', 'Date': [year, 2019]}"
generate Gross Sales  Shelf Stable in month Oct?,"{'Task': 'Gross Sales', 'Sub_Category': 'Shelf Stable', 'Date': [month, Oct]}"
display Revenue  Meats in quarter Q1 to Q4?,"{'Task': 'Revenue', 'Category': 'Meats', 'Date': [quarter, 'Q1 to Q4']}"
fetch Net sales  Cheese in year 2019?,"{'Task': 'Net sales', 'Category': 'Cheese', 'Date': [year, 2019]}"
get Net sales  Candy in year 2019?,"{'Task': 'Net sales', 'Category': 'Candy', 'Date': [year, 2019]}"
generate Bottom Line  Candy in year 2019?,"{'Task': 'Bottom Line', 'Category': 'Candy', 'Date': [year, 2019]}"
fetch Max Shipment  Ketchup in week Wk15 to Wk32?,"{'Task': 'Max Shipment', 'Sub_Category': 'Ketchup', 'Date': ['week Wk15 to Wk32']}"
generate Count  Meats in year 2019?,"{'Task': 'Count', 'Category': 'Meats', 'Date': [year, 2019]}"
fetch Bottom Line  Mayonaise in week Wk7 to Wk34?,"{'Task': 'Bottom Line', 'Sub_Category': 'Mayonaise', 'Date': []}"
generate Count  Natural Cheese in year 2019?,"{'Task': 'Count', 'Sub_Category': 'Natural Cheese', 'Date': [year, 2019]}"
get Net sales  Dollar General in month Feb to Dec?,"{'Task': 'Net sales', 'Customer': 'Dollar General', 'Date': [month, Feb, to, Dec]}"
fetch Top Line  Dollar General in week Wk40?,"{'Task': 'Top Line', 'Customer': 'Dollar General', 'Date': ['week Wk40']}"
get Net sales  BBQ in year 2019?,"{'Task': 'Net sales', 'Sub_Category': 'BBQ', 'Date': [year, 2019]}"
display Net sales  Caramels in year 2019?,"{'Task': 'Net sales', 'Sub_Category': 'Caramels', 'Date': [year, 2019]}"
generate Count  Sauces in quarter Q1 to Q4?,"{'Task': 'Count', 'Category': 'Sauces', 'Date': [quarter, 'Q1 to Q4']}"
generate Max Shipment  Cheese in quarter Q2?,"{'Task': 'Max Shipment', 'Category': 'Cheese', 'Date': [quarter, Q2]}"
get Revenue  Cheese in year 2019?,"{'Task': 'Revenue', 'Category': 'Cheese', 'Date': [year, 2019]}"
fetch Max Shipment  Target in month Jul?,"{'Task': 'Max Shipment', 'Customer': 'Target', 'Date': [month, Jul]}"
fetch Top Line  Candy in quarter Q2 to Q4?,"{'Task': 'Top Line', 'Category': 'Candy', 'Date': [quarter, 'Q2 to Q4']}"
fetch Max Shipment  Breakfast in week Wk23?,"{'Task': 'Max Shipment', 'Category': 'Breakfast', 'Date': ['week Wk23']}"
generate Bottom Line  Kroger in week Wk25 to Wk34?,"{'Task': 'Bottom Line', 'Customer': 'Kroger', 'Date': ['week Wk25 to Wk34']}"
get Revenue  Cheese in year 2019?,"{'Task': 'Revenue', 'Category': 'Cheese', 'Date': [year, 2019]}"
fetch Max Shipment  Meats in quarter Q2 to Q4?,"{'Task': 'Max Shipment', 'Category': 'Meats', 'Date': [quarter, 'Q2 to Q4']}"
get Top Line  Amazon in quarter Q3?,"{'Task': 'Top Line', 'Customer': 'Amazon', 'Date': ['quarter Q3']}"
generate Max Shipment  Cheese in year 2019?,"{'Task': 'Max Shipment', 'Category': 'Cheese', 'Date': [year, 2019]}"
display Bottom Line  UNIFI in week Wk6?,"{'Task': 'Bottom Line', 'Customer': 'UNIFI', 'Date': ['week Wk6']}"
get Count  Amazon in quarter Q2 to Q4?,"{'Task': 'Count', 'Customer': 'Amazon', 'Date': [quarter, 'Q2 to Q4']}"
display Count  Enhancers in quarter Q3?,"{'Task': 'Count', 'Sub_Category': 'Enhancers', 'Date': ['quarter Q3']}"
generate Count  Processed Cheese in year 2019?,"{'Task': 'Count', 'Sub_Category': 'Processed Cheese', 'Date': [year, 2019]}"
