Queries,Task,Category,Sub_Category,Customer
display Net sales  Sauces in Week Week41?,Net sales,Sauces,NA,NA
get Revenue  Grated in Year 2019?,Revenue,NA,Grated,NA
get Net sales  Target in Week Week9?,Net sales,NA,NA,Target
get Revenue  Cheese in Year 2019?,Revenue,Cheese,NA,NA
get Gross Sales  Bacon in Quarter Q4?,Gross Sales,NA,Bacon,NA
get Bottom Line  Albertsons/Safeway in Month Jan to Nov?,Bottom Line,NA,NA,Albertsons/Safeway
display Max Shipment  Sauces in Year 2019?,Max Shipment,Sauces,NA,NA
get Gross Sales  Breakfast in Year 2019?,Gross Sales,Breakfast,NA,NA
display Max Shipment  Albertsons/Safeway in Quarter Q3?,Max Shipment,NA,NA,Albertsons/Safeway
get Top Line  Candy in Year 2019?,Top Line,Candy,NA,NA
get Gross Sales  Caramels in Quarter Q3?,Gross Sales,NA,Caramels,NA
get Gross Sales  Cold Cuts in Quarter Q2 to Q4?,Gross Sales,NA,Cold Cuts,NA
fetch Count  Breakfast in Year 2019?,Count,Breakfast,NA,NA
display Top Line  Ketchup in Month Mar to Dec?,Top Line,NA,Ketchup,NA
fetch Count  Cheese in Week Week23?,Count,Cheese,NA,NA
get Top Line  Cold Cuts in Week Week11 to Week30?,Top Line,NA,Cold Cuts,NA
display Gross Sales  Cheese in Quarter Q1?,Gross Sales,Cheese,NA,NA
display Net sales  Hard in Year 2019?,Net sales,NA,Hard,NA
get Net sales  Meats in Year 2019?,Net sales,Meats,NA,NA
get Top Line  Chocolate in Quarter Q2 to Q4?,Top Line,NA,Chocolate,NA
fetch Top Line  Cold Cuts in Week Week20?,Top Line,NA,Cold Cuts,NA
display Top Line  Cold Cuts in Quarter Q2 to Q4?,Top Line,NA,Cold Cuts,NA
generate Revenue  Breakfast in Year 2019?,Revenue,Breakfast,NA,NA
display Net sales  Aldi in Month Jan to Sep?,Net sales,NA,NA,Aldi
display Max Shipment  Breakfast in Year 2019?,Max Shipment,Breakfast,NA,NA
get Max Shipment  Shelf Stable in Year 2019?,Max Shipment,NA,Shelf Stable,NA
display Net sales  Dollar General in Quarter Q3?,Net sales,NA,NA,Dollar General
generate Revenue  Breakfast in Quarter Q2 to Q4?,Revenue,Breakfast,NA,NA
fetch Top Line  Albertsons/Safeway in Quarter Q3?,Top Line,NA,NA,Albertsons/Safeway
get Max Shipment  Meats in Month Feb to Nov?,Max Shipment,Meats,NA,NA
display Net sales  Dollar General in Quarter Q1?,Net sales,NA,NA,Dollar General
get Top Line  Creamers in Quarter Q2 to Q4?,Top Line,NA,Creamers,NA
generate Revenue  Breakfast in Quarter Q2?,Revenue,Breakfast,NA,NA
generate Count  Shelf Stable in Year 2019?,Count,NA,Shelf Stable,NA
get Gross Sales  Breakfast in Month May?,Gross Sales,Breakfast,NA,NA
get Top Line  Caramels in Week Week6 to Week35?,Top Line,NA,Caramels,NA
display Net sales  Target in Month Nov?,Net sales,NA,NA,Target
generate Max Shipment  Ketchup in Week Week7 to Week28?,Max Shipment,NA,Ketchup,NA
fetch Net sales  Kroger in Week Week2?,Net sales,NA,NA,Kroger
generate Top Line  Mayonaise in Quarter Q1 to Q4?,Top Line,NA,Mayonaise,NA
get Count  Meats in Week Week8?,Count,Meats,NA,NA
fetch Count  Meats in Week Week4 to Week30?,Count,Meats,NA,NA
display Top Line  Specialty Meats in Month Aug?,Top Line,NA,Specialty Meats,NA
generate Revenue  Kroger in Month May to Dec?,Revenue,NA,NA,Kroger
display Gross Sales  Breakfast in Year 2019?,Gross Sales,Breakfast,NA,NA
fetch Gross Sales  UNIFI in Week Week24 to Week49?,Gross Sales,NA,NA,UNIFI
display Max Shipment  Cheese in Month Jun?,Max Shipment,Cheese,NA,NA
fetch Gross Sales  Natural Cheese in Year 2019?,Gross Sales,NA,Natural Cheese,NA
generate Top Line  Chocolate in Quarter Q4?,Top Line,NA,Chocolate,NA
display Net sales  Sauces in Week Week1 to Week30?,Net sales,Sauces,NA,NA
generate Bottom Line  Kroger in Quarter Q1?,Bottom Line,NA,NA,Kroger
display Count  Processed Cheese in Month Jun to Oct?,Count,NA,Processed Cheese,NA
generate Top Line  Shelf Stable in Month Sep?,Top Line,NA,Shelf Stable,NA
generate Bottom Line  Costco in Week Week5 to Week30?,Bottom Line,NA,NA,Costco
fetch Net sales  Creamers in Month May?,Net sales,NA,Creamers,NA
fetch Max Shipment  Shelf Stable in Quarter Q1 to Q4?,Max Shipment,NA,Shelf Stable,NA
generate Bottom Line  Breakfast in Week Week9?,Bottom Line,Breakfast,NA,NA
get Count  Juice in Year 2019?,Count,NA,Juice,NA
generate Net sales  Bars/Snacks in Quarter Q4?,Net sales,NA,Bars/Snacks,NA
fetch Revenue  Processed Cheese in Month Feb to Aug?,Revenue,NA,Processed Cheese,NA
get Gross Sales  Albertsons/Safeway in Year 2019?,Gross Sales,NA,NA,Albertsons/Safeway
get Max Shipment  All others in Quarter Q1 to Q4?,Max Shipment,NA,All others,NA
display Bottom Line  Cheese in Quarter Q3?,Bottom Line,Cheese,NA,NA
get Top Line  Caramels in Year 2019?,Top Line,NA,Caramels,NA
display Revenue  Mayonaise in Week Week3?,Revenue,NA,Mayonaise,NA
get Count  Candy in Quarter Q1 to Q4?,Count,Candy,NA,NA
generate Bottom Line  Costco in Week Week14?,Bottom Line,NA,NA,Costco
fetch Count  Caramels in Month Mar to Aug?,Count,NA,Caramels,NA
get Gross Sales  Candy in Year 2019?,Gross Sales,Candy,NA,NA
get Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
fetch Bottom Line  Mayonaise in Week Week51?,Bottom Line,NA,Mayonaise,NA
fetch Max Shipment  Albertsons/Safeway in Week Week9 to Week31?,Max Shipment,NA,NA,Albertsons/Safeway
get Net sales  Meats in Quarter Q4?,Net sales,Meats,NA,NA
fetch Revenue  Aldi in Week Week4 to Week29?,Revenue,NA,NA,Aldi
display Bottom Line  Sauces in Year 2019?,Bottom Line,Sauces,NA,NA
display Bottom Line  Aldi in Year 2019?,Bottom Line,NA,NA,Aldi
generate Revenue  Sauces in Year 2019?,Revenue,Sauces,NA,NA
generate Net sales  UNIFI in Year 2019?,Net sales,NA,NA,UNIFI
get Net sales  Caramels in Year 2019?,Net sales,NA,Caramels,NA
generate Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
generate Bottom Line  Albertsons/Safeway in Year 2019?,Bottom Line,NA,NA,Albertsons/Safeway
get Top Line  Coffee in Year 2019?,Top Line,NA,Coffee,NA
display Count  Enhancers in Week Week32?,Count,NA,Enhancers,NA
generate Max Shipment  Target in Year 2019?,Max Shipment,NA,NA,Target
get Revenue  Walmart in Week Week40?,Revenue,NA,NA,Walmart
generate Revenue  Processed Cheese in Week Week18 to Week34?,Revenue,NA,Processed Cheese,NA
fetch Net sales  Candy in Week Week43?,Net sales,Candy,NA,NA
fetch Revenue  Coffee in Week Week7 to Week41?,Revenue,NA,Coffee,NA
generate Revenue  Sauces in Quarter Q4?,Revenue,Sauces,NA,NA
generate Net sales  Specialty Meats in Week Week2 to Week48?,Net sales,NA,Specialty Meats,NA
display Bottom Line  Ketchup in Quarter Q3?,Bottom Line,NA,Ketchup,NA
get Bottom Line  Meats in Month Feb to Oct?,Bottom Line,Meats,NA,NA
generate Net sales  Sauces in Quarter Q3?,Net sales,Sauces,NA,NA
display Gross Sales  Hot Dogs in Week Week3 to Week37?,Gross Sales,NA,Hot Dogs,NA
fetch Count  Costco in Year 2019?,Count,NA,NA,Costco
display Net sales  Sauces in Quarter Q2 to Q4?,Net sales,Sauces,NA,NA
generate Top Line  Ahold in Quarter Q3?,Top Line,NA,NA,Ahold
fetch Top Line  Costco in Month May to Dec?,Top Line,NA,NA,Costco
display Max Shipment  Publix in Week Week4?,Max Shipment,NA,NA,Publix
display Count  Creamers in Quarter Q1 to Q4?,Count,NA,Creamers,NA
fetch Gross Sales  Creamers in Week Week6?,Gross Sales,NA,Creamers,NA
display Max Shipment  Cheese in Week Week5 to Week38?,Max Shipment,Cheese,NA,NA
generate Count  Meats in Week Week39?,Count,Meats,NA,NA
fetch Net sales  Coffee in Month May to Nov?,Net sales,NA,Coffee,NA
get Net sales  Bacon in Week Week9?,Net sales,NA,Bacon,NA
display Count  Cold Cuts in Week Week8 to Week36?,Count,NA,Cold Cuts,NA
fetch Top Line  Creamers in Week Week27?,Top Line,NA,Creamers,NA
generate Top Line  Aldi in Month Apr to Dec?,Top Line,NA,NA,Aldi
get Top Line  Tea in Quarter Q4?,Top Line,NA,Tea,NA
get Top Line  Meats in Week Week17 to Week49?,Top Line,Meats,NA,NA
get Gross Sales  Albertsons/Safeway in Year 2019?,Gross Sales,NA,NA,Albertsons/Safeway
display Max Shipment  Meats in Quarter Q1 to Q4?,Max Shipment,Meats,NA,NA
fetch Gross Sales  Meats in Week Week49?,Gross Sales,Meats,NA,NA
fetch Gross Sales  Enhancers in Week Week2 to Week31?,Gross Sales,NA,Enhancers,NA
get Max Shipment  Candy in Month Dec?,Max Shipment,Candy,NA,NA
display Bottom Line  Bacon in Month Mar to Nov?,Bottom Line,NA,Bacon,NA
fetch Net sales  Cold Cuts in Month Mar?,Net sales,NA,Cold Cuts,NA
fetch Net sales  Walmart in Week Week3 to Week32?,Net sales,NA,NA,Walmart
generate Top Line  Amazon in Month Oct?,Top Line,NA,NA,Amazon
get Top Line  Tea in Week Week25 to Week35?,Top Line,NA,Tea,NA
display Net sales  Albertsons/Safeway in Quarter Q2?,Net sales,NA,NA,Albertsons/Safeway
display Net sales  Dollar General in Month May to Aug?,Net sales,NA,NA,Dollar General
generate Net sales  Cheese in Quarter Q4?,Net sales,Cheese,NA,NA
get Net sales  Meats in Year 2019?,Net sales,Meats,NA,NA
fetch Count  Sauces in Quarter Q1?,Count,Sauces,NA,NA
generate Revenue  Albertsons/Safeway in Week Week21 to Week35?,Revenue,NA,NA,Albertsons/Safeway
fetch Max Shipment  Cheese in Week Week26?,Max Shipment,Cheese,NA,NA
generate Revenue  Tea in Week Week4 to Week46?,Revenue,NA,Tea,NA
get Gross Sales  Sauces in Quarter Q2?,Gross Sales,Sauces,NA,NA
fetch Bottom Line  Meats in Month Jan to Aug?,Bottom Line,Meats,NA,NA
get Gross Sales  BBQ in Year 2019?,Gross Sales,NA,BBQ,NA
display Gross Sales  BBQ in Year 2019?,Gross Sales,NA,BBQ,NA
generate Count  Sauces in Month Nov?,Count,Sauces,NA,NA
display Top Line  Ahold in Quarter Q2 to Q4?,Top Line,NA,NA,Ahold
get Net sales  Coffee in Month Feb?,Net sales,NA,Coffee,NA
generate Count  Publix in Month Apr to Dec?,Count,NA,NA,Publix
get Gross Sales  Meats in Quarter Q3?,Gross Sales,Meats,NA,NA
generate Bottom Line  Specialty Meats in Month Jan to Oct?,Bottom Line,NA,Specialty Meats,NA
display Bottom Line  Cheese in Quarter Q2?,Bottom Line,Cheese,NA,NA
display Bottom Line  Candy in Quarter Q2 to Q4?,Bottom Line,Candy,NA,NA
generate Gross Sales  Juice in Quarter Q1?,Gross Sales,NA,Juice,NA
display Max Shipment  Processed Cheese in Month Jun to Dec?,Max Shipment,NA,Processed Cheese,NA
generate Count  Mayonaise in Year 2019?,Count,NA,Mayonaise,NA
fetch Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
display Net sales  Ahold in Year 2019?,Net sales,NA,NA,Ahold
