English_Queries,Task,Category,Sub_Category,Customer,Entities
generate Max Shipment  Candy in quarter Q2?,Max Shipment,Candy,NA,NA,Max Shipment:Task || Candy:Category || 
generate Top Line  Sauces in quarter Q1 to Q4?,Top Line,Sauces,NA,NA,Top Line:Task || Sauces:Category || 
display Net sales  Tea in month Nov?,Net sales,NA,Tea,NA,Net sales:Task || Tea:Sub_Category || 
get Top Line  Ketchup in year 2019?,Top Line,NA,Ketchup,NA,Top Line:Task || Ketchup:Sub_Category || 
get Revenue  Hot Dogs in month Aug?,Revenue,NA,Hot Dogs,NA,Revenue:Task || Hot Dogs:Sub_Category || 
fetch Bottom Line  Candy in month Jun to Nov?,Bottom Line,Candy,NA,NA,Bottom Line:Task || Candy:Category || 
fetch Revenue  Albertsons/Safeway in month Oct?,Revenue,NA,NA,Albertsons/Safeway,Revenue:Task || Albertsons/Safeway:Customer || 
fetch Top Line  UNIFI in year 2019?,Top Line,NA,NA,UNIFI,Top Line:Task || UNIFI:Customer || 
fetch Revenue  Meats in year 2019?,Revenue,Meats,NA,NA,Revenue:Task || Meats:Category || 
fetch Revenue  Cheese in week Wk16 to Wk43?,Revenue,Cheese,NA,NA,Revenue:Task || Cheese:Category || 
generate Gross Sales  Meats in year 2019?,Gross Sales,Meats,NA,NA,Gross Sales:Task || Meats:Category || 
display Bottom Line  Walmart in week Wk14 to Wk28?,Bottom Line,NA,NA,Walmart,Bottom Line:Task || Walmart:Customer || 
get Max Shipment  Ahold in year 2019?,Max Shipment,NA,NA,Ahold,Max Shipment:Task || Ahold:Customer || 
generate Net sales  Cheese in year 2019?,Net sales,Cheese,NA,NA,Net sales:Task || Cheese:Category || 
display Revenue  Tea in week Wk43?,Revenue,NA,Tea,NA,Revenue:Task || Tea:Sub_Category || 
get Count  Walmart in month Feb to Sep?,Count,NA,NA,Walmart,Count:Task || Walmart:Customer || 
display Top Line  Candy in year 2019?,Top Line,Candy,NA,NA,Top Line:Task || Candy:Category || 
generate Bottom Line  Hard in year 2019?,Bottom Line,NA,Hard,NA,Bottom Line:Task || Hard:Sub_Category || 
fetch Max Shipment  Cheese in year 2019?,Max Shipment,Cheese,NA,NA,Max Shipment:Task || Cheese:Category || 
fetch Net sales  Dollar General in month May to Dec?,Net sales,NA,NA,Dollar General,Net sales:Task || Dollar General:Customer || 
generate Top Line  Natural Cheese in month Jul?,Top Line,NA,Natural Cheese,NA,Top Line:Task || Natural Cheese:Sub_Category || 
fetch Net sales  Cheese in year 2019?,Net sales,Cheese,NA,NA,Net sales:Task || Cheese:Category || 
fetch Max Shipment  Processed Cheese in year 2019?,Max Shipment,NA,Processed Cheese,NA,Max Shipment:Task || Processed Cheese:Sub_Category || 
generate Max Shipment  Breakfast in week Wk6 to Wk42?,Max Shipment,Breakfast,NA,NA,Max Shipment:Task || Breakfast:Category || 
generate Count  Meats in year 2019?,Count,Meats,NA,NA,Count:Task || Meats:Category || 
display Revenue  Candy in quarter Q2 to Q4?,Revenue,Candy,NA,NA,Revenue:Task || Candy:Category || 
generate Revenue  Target in week Wk4?,Revenue,NA,NA,Target,Revenue:Task || Target:Customer || 
display Max Shipment  Aldi in quarter Q2 to Q4?,Max Shipment,NA,NA,Aldi,Max Shipment:Task || Aldi:Customer || 
generate Revenue  Aldi in year 2019?,Revenue,NA,NA,Aldi,Revenue:Task || Aldi:Customer || 
get Net sales  Cheese in month Feb to Oct?,Net sales,Cheese,NA,NA,Net sales:Task || Cheese:Category || 
generate Max Shipment  Meats in quarter Q4?,Max Shipment,Meats,NA,NA,Max Shipment:Task || Meats:Category || 
get Bottom Line  Albertsons/Safeway in quarter Q1 to Q4?,Bottom Line,NA,NA,Albertsons/Safeway,Bottom Line:Task || Albertsons/Safeway:Customer || 
display Gross Sales  Shelf Stable in year 2019?,Gross Sales,NA,Shelf Stable,NA,Gross Sales:Task || Shelf Stable:Sub_Category || 
get Net sales  Candy in quarter Q2 to Q4?,Net sales,Candy,NA,NA,Net sales:Task || Candy:Category || 
